EVENT_ID,CATEGORY,DISTRICT,TITLE,START_DATE,END_DATE,PLACE,LATITUDE,LONGITUDE,ORGANIZATION,SUBJECT,IS_FREE,URL,REGISTERED
155494,교육/체험,구로구,[서울아트책보고] 조예신 성우와 함께 하는 오디오북 낭독 (심화),2025-10-17,2025-11-07,서울아트책보고 워크숍룸,126.867088741096,37.4982125677913,서울아트책보고,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155494&menuNo=200011,2025-10-13
155430,교육/체험,중구,"2025년 서울시 문학특성화 사업 [서울과 문학, 그 틈을 걷다]",2025-10-17,2025-11-06,1차: 서울시청 구청사 / 2차: 경복궁역 1번 출구 / 3차: 서울 명동 YWCA 4층 대강당,126.977918351844,37.566370776634,기타,시민,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155430&menuNo=200011,2025-10-01
155388,축제-문화/예술,종로구,[종로문화재단] 2025 종로 가족공연축제 10월 패키지,2025-10-17,2025-11-02,아이들극장,126.99830160838778,37.59029701704756,종로문화재단,기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155388&menuNo=200010,2025-09-27
155376,전시/미술,영등포구,"[영등포문화재단] 2025 예술기술도시 [산 그림자 물 볕 달 내음 - 밀어도 지지 않고, 쓸어도 차오른다]",2025-10-17,2025-11-02,서울 영등포구 경인로 719 (옛 농협 하나로마트),126.893287610706,37.5120919992907,영등포문화재단,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155376&menuNo=200009,2025-09-26
155497,교육/체험,종로구,[서울공예박물관] Open Studio : 조물조물 캔들공예,2025-10-17,2025-10-31,서울공예박물관 전시3동 1층 교육실,126.983533363501,37.5766481740232,서울공예박물관,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155497&menuNo=200011,2025-10-13
155385,콘서트,종로구,[종로문화재단] 2025 어디나 스테이지 10월 공연,2025-10-17,2025-10-28,광화문광장/ 서울노인복지센터,126.976168275947,37.5718478584908,종로문화재단,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155385&menuNo=200008,2025-09-27
155392,교육/체험,구로구,[구로구립글마루한옥어린이도서관] 서울문화의밤 [전통 색과 무늬를 담은 단청공예],2025-10-17,2025-10-24,글마루한옥어린이도서관 별관 성학당,126.845637024997,37.5069156006181,구로문화원,기관,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155392&menuNo=200011,2025-09-28
155444,축제-기타,광진구,2025 어반피크닉 서울 커먼그라운드,2025-10-17,2025-10-19,커먼그라운드 광장,127.065669226745,37.5410566332301,기타,시민,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155444&menuNo=200010,2025-10-02
154687,축제-전통/역사,관악구,[관악문화재단] 2025 관악강감찬축제,2025-10-17,2025-10-19,낙성대공원 일대,126.959370998377,37.4719720770814,관악문화재단,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154687&menuNo=200010,2025-08-06
155547,축제-문화/예술,마포구,2025 서울와우북페스티벌,2025-10-17,2025-10-19,"서울생활문화센터 서교, 강의실, 서교스퀘어, 로비, 썬큰광장 등",126.916493990351,37.5508138163956,기타,기관,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=155547&menuNo=200010,2025-10-15
